target,evidence_source,model_dependency,preregistered_controls,status,target_type,dprime_outcome,composition_status,boundary_status,scale_status,metric,result_artifact,claim_pass
canonical_arctanh,"[""CRM5_RESIDUAL_LEDGER_2026""]",none__analytic_projective_abel_coordinate,"[""positive_face_grid_x_y_0.05_to_0.95"",""fixed_projective_quotient_R"",""common_delta_threshold""]",CONTROL_PASS_PROJECTIVE,analytic_control,pass_control,exact_internal_abel_composition,synthetic_fixed_open_interval,not_physical_scale,"{""name"":""max_abs_delta"",""value"":1.8962609260597674e-12}",legacy-onedrive://CRM-V/_results/DPRIME_RESIDUAL_LEDGER_2026-06-21.json,false
scaled_2_arctanh,"[""CRM5_RESIDUAL_LEDGER_2026""]",none__analytic_projective_abel_coordinate,"[""positive_face_grid_x_y_0.05_to_0.95"",""fixed_projective_quotient_R"",""common_delta_threshold""]",CONTROL_PASS_PROJECTIVE,analytic_control,pass_control,exact_internal_abel_composition,synthetic_fixed_open_interval,not_physical_scale,"{""name"":""max_abs_delta"",""value"":1.8962609260597674e-12}",legacy-onedrive://CRM-V/_results/DPRIME_RESIDUAL_LEDGER_2026-06-21.json,false
collar_eps_plus_0.05,"[""CRM5_RESIDUAL_LEDGER_2026""]",none__analytic_smooth_nonprojective_collar,"[""positive_face_grid_x_y_0.05_to_0.95"",""fixed_projective_quotient_R"",""common_delta_threshold""]",CONTROL_FAIL_PROJECTIVE,analytic_control,fail_control,exact_internal_abel_composition,synthetic_fixed_open_interval,not_physical_scale,"{""name"":""max_abs_delta"",""value"":0.09012008846000352}",legacy-onedrive://CRM-V/_results/DPRIME_RESIDUAL_LEDGER_2026-06-21.json,false
collar_eps_plus_0.10,"[""CRM5_RESIDUAL_LEDGER_2026""]",none__analytic_smooth_nonprojective_collar,"[""positive_face_grid_x_y_0.05_to_0.95"",""fixed_projective_quotient_R"",""common_delta_threshold""]",CONTROL_FAIL_PROJECTIVE,analytic_control,fail_control,exact_internal_abel_composition,synthetic_fixed_open_interval,not_physical_scale,"{""name"":""max_abs_delta"",""value"":0.18021949471456633}",legacy-onedrive://CRM-V/_results/DPRIME_RESIDUAL_LEDGER_2026-06-21.json,false
collar_eps_minus_0.05,"[""CRM5_RESIDUAL_LEDGER_2026""]",none__analytic_smooth_nonprojective_collar,"[""positive_face_grid_x_y_0.05_to_0.95"",""fixed_projective_quotient_R"",""common_delta_threshold""]",CONTROL_FAIL_PROJECTIVE,analytic_control,fail_control,exact_internal_abel_composition,synthetic_fixed_open_interval,not_physical_scale,"{""name"":""max_abs_delta"",""value"":0.09014379288085905}",legacy-onedrive://CRM-V/_results/DPRIME_RESIDUAL_LEDGER_2026-06-21.json,false
collar_cubic_plus_0.05,"[""CRM5_RESIDUAL_LEDGER_2026""]",none__analytic_smooth_nonprojective_collar,"[""positive_face_grid_x_y_0.05_to_0.95"",""fixed_projective_quotient_R"",""common_delta_threshold""]",CONTROL_FAIL_PROJECTIVE,analytic_control,fail_control,exact_internal_abel_composition,synthetic_fixed_open_interval,not_physical_scale,"{""name"":""max_abs_delta"",""value"":0.07184145847414047}",legacy-onedrive://CRM-V/_results/DPRIME_RESIDUAL_LEDGER_2026-06-21.json,false
rg_scale_ratio_tanh_k1,"[""CRM5_RESIDUAL_LEDGER_2026""]",synthetic_tanh_response_on_multiplicative_scale_semigroup,"[""same_delta_threshold_as_collar_controls"",""r_grid_1.05_to_10"",""k_equals_1""]",SYNTHETIC_SCALE_COMPOSITION_PASS__NOT_PHYSICAL,synthetic_control,pass_synthetic_not_physical,exact_scale_semigroup__synthetic_response,synthetic_projective_anchors,multiplicative_rg_scale_only,"{""name"":""max_abs_delta"",""value"":1.652011860642233e-13}",legacy-onedrive://CRM-V/_results/DPRIME_RESIDUAL_LEDGER_2026-06-21.json,false
agravity_qed_gamma_gamma_unpolarized_sqamp_tree,"[""CUNHA_LEHUM_2026""]",massless_tree_level_one_graviton_exchange_fixed_couplings,"[""canonical_arctanh"",""collar_cubic_plus_0.05"",""natural_forward_and_backward_angle_anchors""]",NOT_DECIDABLE_SOURCE_INCOMPLETE,source_candidate,not_decidable,not_source_defined,degenerate__both_natural_responses_diverge_to_plus_infinity,tree_level_fixed_couplings__running_deferred_by_source,"{""name"":""dprime_metric"",""reason"":""boundary_pair_degenerate_and_composition_missing"",""value"":null}",legacy-onedrive://CRM-V/_proof-notes/CRM5_DPRIME_PHYS_OBS_V1_2026-08-24.md,false
bjorken_effective_charge_alpha_g1,"[""DEUR_ET_AL_2022"",""BRODSKY_LU_1995"",""DE_TERAMOND_ET_AL_2024""]",physical_effective_charge_plus_de_teramond_analytic_model,"[""fixed_GDH_and_asymptotic_freedom_anchors"",""canonical_tanh_generator_positive_control"",""eleven_Q_values_0.001_to_100_GeV""]",MODEL_BOUND_DPRIME_FAIL__PHYSICAL_C_NOT_SOURCE_EXACT,source_candidate,fail_model_bound,CSR_transitivity_supported__exact_response_C_not_source_defined,physical_finite_distinct__alpha_g1_0_pi__alpha_g1_infinity_0,additive_log_Q_squared__model_validity_limited_in_full_UV,"{""grid_span"":0.558359378671,""ir_limit"":0.5,""name"":""projective_generator_limits"",""uv_limit"":0.0}",legacy-onedrive://CRM-V/_proof-notes/CRM5_DPRIME_BJORKEN_EFFECTIVE_CHARGE_V1_2026-08-26.md,false
u1_2d_yang_mills_wilson_loop_area_response,"[""AROCA_KUBYSHIN_2000"",""WITTEN_1991"",""NGUYEN_2018""]",exact_pure_2d_U1_Yang_Mills_heat_kernel_area_law,"[""exact_semigroup_identity"",""normalized_composition_associativity"",""two_finite_response_boundaries""]",EXACT_GAUGE_RESPONSE_COMPOSITION__DPRIME_FAIL__NOT_4D_SCATTERING_OR_RG,source_candidate,fail_model_bound,exact_source_response_composition,finite_distinct_response_values__minus_1_plus_1,additive_area__not_4d_scattering_or_rg_time,"{""at_x_0"":1.0,""at_x_0_5"":0.6666666666666666,""name"":""projective_generator_witness""}",results/paper5/DPRIME_2D_YM_HEAT_KERNEL_GATE_2026-08-26.json,false
