b,n_matter,lambda_0,xi_infinity,t_end,t_multiplier,t,lambda,xi,d_lambda_dt,d_xi_dt,reduced_beta_lambda,reduced_beta_xi,full_beta_lambda,full_beta_xi,trajectory_identity_residual,reduced_vector_residual,full_vector_residual,tensor_to_scalar_ratio,projected_response_x_r,prior_xi_only_response,two_coupling_contrast
0.1,100000,0.00015791367041742972,1.1053956929220079e-07,0.7346971450938999,1.0,0.7346971450938999,0.00014710584591536547,7.56547715144495e-09,-1.3703772349329627e-05,9.592640644530739e-09,-1.3703772349329624e-05,9.592640644530737e-09,-1.3706234458862236e-05,9.592647692206364e-09,-2.220446049250313e-16,2.4724077987092526e-16,0.00017966650836274059,16.000000000000025,-1.000000000000003,-0.8631173036065243,-0.8631173036065241
0.1,100000,0.00015791367041742972,1.1053956929220079e-07,0.7346971450938999,2.0,1.4693942901877999,0.0001376826591030415,1.4161707920071768e-08,-1.200435311748159e-05,8.403047182237113e-09,-1.2004353117481592e-05,8.403047182237115e-09,-1.2006509896847836e-05,8.403059529591387e-09,0.0,1.4112099758118296e-16,0.00017966639407912275,0.9490248601810048,0.8813718924773744,-0.7437712484180818,-0.743771248418082
0.1,100000,0.00015791367041742972,1.1053956929220079e-07,0.7346971450938999,4.0,2.9387885803755998,0.00012204671978096858,2.5106865445522788e-08,-9.43262338841197e-06,6.602836371888379e-09,-9.432623388411969e-06,6.602836371888378e-09,-9.434318112102012e-06,6.602855776117622e-09,-1.1102230246251565e-16,1.7959645070660919e-16,0.0001796661655152235,0.12225589471840775,0.984718013160199,-0.5457397634840573,-0.5457397634840572
0.1,100000,0.00015791367041742972,1.1053956929220079e-07,0.7346971450938999,8.0,5.8775771607511995,9.945703227806484e-05,4.0919646697555407e-08,-6.263993005426486e-06,4.38479510379854e-09,-6.263993005426486e-06,4.38479510379854e-09,-6.2651184304426904e-06,4.384820875475559e-09,0.0,0.0,0.00017966570840608802,0.017092439283338198,0.9978634450895827,-0.25963802899596555,-0.2596380289959656
0.1,100000,0.00015791367041742972,1.1053956929220079e-07,0.7346971450938999,16.0,11.755154321502399,7.258678476086503e-05,5.972881995959528e-08,-3.336532744753806e-06,2.3355729213276636e-09,-3.3365327447538063e-06,2.3355729213276644e-09,-3.337132202369165e-06,2.335600375720238e-09,0.0,1.2693331972364659e-16,0.00017966479425778688,0.0021208411148777744,0.9997348948606403,0.08067763140469375,0.0806776314046937
0.1,1000000,1.5791367041742972e-05,1.105395692922008e-09,0.7346971450938999,1.0,0.7346971450938999,1.4710584591536549e-05,7.565477151444951e-11,-1.3703772349329628e-06,9.592640644530738e-11,-1.3703772349329628e-06,9.592640644530739e-11,-1.370401856042384e-06,9.592641349299207e-11,-1.1102230246251565e-16,9.43148843253209e-21,1.7966665479625094e-05,16.000000000000025,-1.000000000000003,-0.8631173036065243,-0.8631173036065242
0.1,1000000,1.5791367041742972e-05,1.105395692922008e-09,0.7346971450938999,2.0,1.4693942901877999,1.3768265910304148e-05,1.416170792007177e-10,-1.200435311748159e-06,8.403047182237113e-11,-1.200435311748159e-06,8.403047182237114e-11,-1.2004568795665163e-06,8.403048416975716e-11,0.0,1.0766675149411998e-20,1.7966664336977377e-05,0.9490248601810048,0.8813718924773744,-0.7437712484180818,-0.7437712484180818
0.1,1000000,1.5791367041742972e-05,1.105395692922008e-09,0.7346971450938999,4.0,2.9387885803755998,1.2204671978096858e-05,2.510686544552279e-10,-9.432623388411971e-07,6.602836371888378e-11,-9.432623388411968e-07,6.602836371888377e-11,-9.432792861169061e-07,6.602838312321281e-11,-1.1102230246251565e-16,3.3674338688781313e-16,1.7966662051070593e-05,0.12225589471840775,0.984718013160199,-0.5457397634840573,-0.5457397634840572
0.1,1000000,1.5791367041742972e-05,1.105395692922008e-09,0.7346971450938999,8.0,5.8775771607511995,9.945703227806484e-06,4.0919646697555413e-10,-6.263993005426486e-07,4.3847951037985396e-11,-6.263993005426486e-07,4.38479510379854e-11,-6.264105548443546e-07,4.38479768099275e-11,0.0,1.0316659859197565e-20,1.79666574798268e-05,0.017092439283338198,0.9978634450895827,-0.25963802899596555,-0.2596380289959655
0.1,1000000,1.5791367041742972e-05,1.105395692922008e-09,0.7346971450938999,16.0,11.755154321502399,7.258678476086502e-06,5.972881995959528e-10,-3.336532744753806e-07,2.3355729213276637e-11,-3.336532744753806e-07,2.335572921327664e-11,-3.3365926910644423e-07,2.3355756668234003e-11,0.0,9.684227631062278e-21,1.7966648337019678e-05,0.0021208411148777744,0.9997348948606403,0.08067763140469353,0.08067763140469358
